,net_gain,PLC,s,pl
0,3.0315944824869177e-05,0.0,0.3,0.0
1,2.965746470305847e-05,0.07975931636771438,0.26976292681621344,-0.4550083160160267
2,2.8621156552308158e-05,0.08601076572487043,0.24052710103819966,-0.4703590715473439
3,2.694525676993756e-05,0.0963229511732474,0.21275735512638663,-0.4945945778750177
4,2.4218282569045532e-05,0.11424779418165942,0.18711944958163307,-0.5341328645247672
5,1.99980861892993e-05,0.14685669787152378,0.16446355908456625,-0.6000617044665846
6,1.4437327878533888e-05,0.20664950021890216,0.1456131608010092,-0.7091636228650056
7,8.955021244804225e-06,0.30721274237694696,0.13091061715281277,-0.8788895304784027
8,5.043865312500032e-06,0.44321850546356634,0.11991639539425075,-1.1127748793868495
9,2.8005102308520937e-06,0.5815252932868378,0.11172335950001754,-1.3931230398269654
10,1.6114201761539652e-06,0.6935108975765842,0.10547109964791088,-1.6958258985664454
11,9.765174302037673e-07,0.7740440819153624,0.10054427858675807,-2.0045411422741846
12,6.230899163524059e-07,0.8298184798768106,0.09654270357495362,-2.311269808344189
13,4.1627530591042996e-07,0.8685710899517837,0.09320820105599181,-2.612776976057388
14,2.892933731492434e-07,0.8960273193072013,0.0903704400500862,-2.908013716780694
15,2.0788041758943968e-07,0.9159717431528718,0.08791300054811821,-3.197083026905588
16,1.5369132563922523e-07,0.930798755548706,0.08575491702298449,-3.4799110924798207
17,1.1642442352812728e-07,0.9420787502592046,0.08383721965101301,-3.757010505032694
18,9.005813445734609e-08,0.9508366699366629,0.08211612116672734,-4.02880152885854
19,7.093763903031498e-08,0.9577606290704967,0.08055835792772113,-4.295690375113132
20,5.67686692988233e-08,0.9633232025137969,0.07913815077312847,-4.558052516637338
21,4.6067160994029185e-08,0.9678560951471971,0.07783516753997503,-4.816227988853095
22,3.784711002310388e-08,0.9715969226210561,0.07663312244436746,-5.070521920261169
23,3.143756812978627e-08,0.9747191200564082,0.07551879113913885,-5.321207183312032
24,2.6371040952203676e-08,0.9773560508933221,0.0744810713908511,-5.568992981132871
25,2.2319213188667584e-08,0.9795915660104293,0.07351141027126022,-5.812758236138189
26,1.904234459618955e-08,0.9815126955734137,0.07260198010094564,-6.053980681428365
27,1.6365711291299927e-08,0.9831731142310516,0.07174635910769538,-6.292444611935575
28,1.415947243012659e-08,0.9846177185530786,0.07093908250713252,-6.528267500612122
29,1.2325785518266497e-08,0.9858825817879503,0.07017543860671897,-6.761631838641662
